	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	
RFP_0_weighted&ab	1.339364382	1.176754809	1.107813534	1.073291254	1.060358273	1.051074857	1.043790681	1.036799562	1.038136907	1.038745781	1.037254285	1.035894778	1.040010561	1.040444052	1.045905599	1.04899707	1.051955105	1.056856778	1.060820454	1.065017987	
nrmse_0_weighted&ab	1.197588038	1.083088731	1.034547893	1.021884523	1.00078433	0.998667971	0.999561521	0.995895144	0.995517357	0.991701652	0.988593247	0.988028951	0.985897253	0.984765614	0.981834742	0.980301332	0.979596518	0.981279606	0.98004717	0.979798332	
nmae_0_weighted&ab	1.228924378	1.106291757	1.045236628	1.020812618	1.005910869	0.999744153	0.991633281	0.985726833	0.982110018	0.977962913	0.973935209	0.972613039	0.971446695	0.970260526	0.971135143	0.970347591	0.969786752	0.967997524	0.967764395	0.966309963	
pearson_4_weighted&ab	1.388151102	1.208961166	1.129215566	1.093373314	1.081152805	1.070556445	1.063081754	1.057399957	1.054935549	1.057060354	1.054283132	1.053255794	1.054206935	1.057429479	1.061923426	1.062594594	1.065297289	1.069950201	1.073416918	1.075651318	
RFP_4_weighted&ab	1.338804018	1.174625686	1.105804149	1.071607529	1.059493661	1.052211219	1.04597804	1.040800517	1.04293911	1.043916545	1.041357954	1.039623468	1.04237108	1.045205423	1.049127989	1.05110623	1.054403229	1.0610816	1.065452924	1.068948537	
nrmse_4_weighted&ab	1.197588038	1.085267858	1.035656707	1.022528792	1.001198778	0.999998195	1.001779273	0.99722397	0.995961237	0.991716663	0.988135019	0.988044481	0.98603925	0.985334172	0.982617287	0.980901227	0.980256603	0.981693232	0.98054909	0.980471655	
nmae_4_weighted&ab	1.238251442	1.105199241	1.045178562	1.019232831	1.004829419	0.999296184	0.991523821	0.984735109	0.982749029	0.978152864	0.974275157	0.972974948	0.972824687	0.972049814	0.973011368	0.972153523	0.971610942	0.969763514	0.969733713	0.968174363	
pearson_10_weighted&ab	1.360082427	1.209576884	1.14017256	1.114440323	1.106776544	1.103715255	1.101961565	1.102970934	1.102287899	1.107323059	1.110662389	1.114824387	1.119825976	1.126573841	1.130736099	1.135109517	1.139320874	1.143864101	1.145032861	1.146580143	
RFP_10_weighted&ab	1.329267197	1.179652378	1.119243342	1.095022912	1.092082461	1.09466213	1.089843048	1.09033391	1.093642959	1.097092355	1.099343347	1.101948772	1.110002292	1.117367927	1.123215056	1.127185843	1.132932591	1.138780247	1.141132843	1.144185414	
nrmse_10_weighted&ab	1.203544072	1.090146471	1.041373145	1.029641497	1.009443993	1.005747352	1.00650496	1.001727805	0.999515449	0.996174669	0.993004408	0.99299189	0.992199847	0.991124578	0.988954361	0.986979623	0.986002128	0.987245005	0.98558369	0.985999337	
